Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
19,14,Marketing,Head,BFSI,L,Marketing Manager,PG,Mathematics,Lucknow,1994.0,Mathematics,Lucknow,1996.0,Mathematics,Bhubaneswar,2001.0,Chennai,Kanpur,3444148,Y,B,5,3,1,0,4546275
21,14,Education,Bio statistician,Telecom,J,fresher,PG,Botony,Bhubaneswar,1993.0,Others,Bhubaneswar,1995.0,Arts,Ahmedabad,1999.0,Chennai,Bhubaneswar,2057984,N,C,5,6,1,0,2461348
15,4,,Consultant,BFSI,P,fresher,PG,Psychology,Pune,1998.0,Psychology,Pune,2000.0,Psychology,Guwahati,2005.0,Nagpur,Bhubaneswar,1810461,N,A,5,4,1,0,2353599
4,4,Banking,Bio statistician,Retail,C,fresher,PG,Botony,Lucknow,2008.0,Others,Lucknow,2010.0,Zoology,Bhubaneswar,2016.0,Bangalore,Ahmedabad,932069,N,C,6,5,2,0,1114754
5,0,Marketing,Sales Execituve,Insurance,J,Data Analyst,Doctorate,Engineering,Bangalore,2015.0,Engineering,Bangalore,2016.0,,,,Chennai,Nagpur,1228419,Y,C,4,2,0,0,1582203
19,10,Education,Senior Researcher,Insurance,I,Others,PG,Botony,Mangalore,2001.0,Botony,Mangalore,2015.0,,,,Chennai,Kanpur,2008407,N,B,6,1,1,0,2610929
14,6,Others,Head,Telecom,L,Data Analyst,Doctorate,Statistics,Guwahati,1997.0,Statistics,Guwahati,1999.0,Statistics,Lucknow,2006.0,Nagpur,Ahmedabad,2343303,Y,A,2,8,0,1,3280624
15,8,Others,Others,IT,P,CA,PG,Mathematics,Mangalore,1997.0,Mathematics,Mangalore,1999.0,Mathematics,Lucknow,2005.0,Chennai,Surat,2445096,N,A,4,4,1,0,3178624
21,15,Engineering,Financial Analyst,IT,F,Director,Doctorate,Others,Pune,1993.0,Sociology,Pune,1995.0,Zoology,Pune,1999.0,Ahmedabad,Chennai,2610014,Y,Key_Performer,3,7,0,0,3654019
22,19,Sales,Bio statistician,Training,K,Software Developer,Grad,Economics,Ahmedabad,1998.0,Economics,Ahmedabad,2017.0,,,,Ahmedabad,Bhubaneswar,2537324,N,C,6,1,3,0,2917922
9,4,Education,Consultant,IT,C,HR,PG,Sociology,Delhi,2011.0,Sociology,Delhi,2015.0,,,,Bangalore,Mumbai,1117192,N,D,4,2,0,0,1336161
15,11,Education,Analyst,Others,H,Marketing Manager,Doctorate,Zoology,Jaipur,2005.0,Zoology,Jaipur,2018.0,,,,Pune,Kanpur,1892942,N,C,6,1,0,0,2351033
24,22,Education,Analyst,IT,F,Assistant Manager,PG,Economics,Mangalore,1987.0,Economics,Mangalore,1989.0,Economics,Guwahati,1996.0,Pune,Ahmedabad,1677055,Y,A,3,8,0,0,2213712
5,1,,Scientist,FMCG,G,Assistant Manager,Grad,Botony,Bhubaneswar,2015.0,Others,Bhubaneswar,2012.0,,,,Chennai,Nagpur,574668,N,C,3,2,2,0,660868
23,5,Sales,CEO,Training,A,fresher,Doctorate,Psychology,Nagpur,1991.0,Psychology,Nagpur,1993.0,Psychology,Mangalore,1997.0,Chennai,Delhi,2931464,N,B,3,3,0,0,3957476
24,1,Others,Consultant,Analytics,N,Product Manager,Grad,Economics,Nagpur,1987.0,Economics,Nagpur,1989.0,Economics,Kolkata,1996.0,Guwahati,Jaipur,2612714,Y,A,3,7,0,0,3344273
9,6,HR,Project Manager,Retail,B,Assistant Manager,Doctorate,Zoology,Mangalore,2011.0,,,,,,,Kolkata,Mangalore,2183800,N,D,5,0,0,0,2712279
17,5,Top Management,Head,Aviation,N,Sr.Manager,Grad,Zoology,Delhi,1994.0,Zoology,Delhi,1996.0,Others,Kolkata,2003.0,Surat,Ahmedabad,2477041,N,A,4,7,0,0,3096301
11,0,IT-Software,Consultant,Telecom,P,Research Analyst,Grad,Economics,Delhi,2003.0,Economics,Delhi,2005.0,Economics,Mumbai,2009.0,Bangalore,Jaipur,2003346,N,A,3,4,3,0,2504182
1,1,,Others,FMCG,F,Assistant Manager,Doctorate,Botony,Jaipur,2019.0,,,,,,,Bhubaneswar,Mumbai,855551,N,B,1,1,0,0,1069438
5,5,Banking,Sales Manager,IT,N,CA,PG,Economics,Surat,2008.0,Economics,Surat,2010.0,Economics,Jaipur,2015.0,Kanpur,Ahmedabad,1281992,N,A,3,7,0,0,1733253
9,3,Healthcare,Sales Execituve,IT,K,Consultant,PG,Others,Ahmedabad,2005.0,Engineering,Ahmedabad,2007.0,Economics,Kolkata,2011.0,Nagpur,Kolkata,1565332,N,D,5,4,1,0,1872137
19,15,,Analyst,Aviation,H,HR,Doctorate,Arts,Mangalore,1995.0,Arts,Mangalore,1997.0,Arts,Pune,2001.0,Nagpur,Lucknow,2510343,N,A,5,5,0,0,3388963
10,9,IT-Software,Others,Others,G,Director,Grad,Engineering,Surat,2010.0,Engineering,Surat,2018.0,,,,Bhubaneswar,Bhubaneswar,1989815,N,D,4,0,0,0,2288287
13,4,Education,Team Lead,Insurance,J,Network Engineer,Doctorate,Statistics,Ahmedabad,1998.0,Statistics,Ahmedabad,2000.0,Statistics,Kolkata,2007.0,Mangalore,Ahmedabad,1902484,N,D,3,5,0,0,2362885
19,5,Education,Bio statistician,BFSI,M,Data Analyst,Grad,Botony,Mumbai,2001.0,Botony,Mumbai,2010.0,,,,Delhi,Delhi,2336553,N,A,2,2,3,0,2920691
0,0,,,,,fresher,Doctorate,Statistics,Jaipur,2011.0,Statistics,Jaipur,2013.0,Mathematics,Ahmedabad,2020.0,Pune,Bangalore,0,N,,0,6,0,0,1205696
21,6,Healthcare,Project Manager,Aviation,G,Product Manager,Grad,Chemistry,Lucknow,1993.0,Chemistry,Lucknow,1995.0,Chemistry,Delhi,1999.0,Chennai,Mangalore,2505885,N,B,4,3,0,0,3132356
22,11,Top Management,Consultant,IT,D,Sr.Manager,Under Grad,,,,,,,,,,Pune,Chennai,2572782,N,A,5,7,0,0,3215977
20,16,IT-Software,Head,BFSI,O,Network Engineer,Doctorate,Others,Kolkata,1991.0,Sociology,Kolkata,1993.0,Sociology,Jaipur,2000.0,Kanpur,Lucknow,3799747,Y,B,4,6,0,0,5319645
8,7,Sales,Senior Researcher,Automobile,P,fresher,Grad,Psychology,Lucknow,2012.0,Psychology,Lucknow,2015.0,,,,Kolkata,Kanpur,1159526,N,A,5,0,0,0,1507383
1,0,Education,Others,Others,J,fresher,Grad,Arts,Jaipur,2019.0,Arts,Jaipur,2013.0,,,,Delhi,Kolkata,402688,N,B,1,2,0,0,503360
25,19,Engineering,Analyst,BFSI,K,Others,PG,Mathematics,Bhubaneswar,1986.0,Mathematics,Bhubaneswar,1988.0,Mathematics,Surat,1995.0,Guwahati,Kolkata,2735851,N,C,5,7,0,0,3272077
2,0,Banking,Others,Training,H,Research Analyst,Grad,Arts,Bhubaneswar,2018.0,,,,,,,Pune,Mangalore,406781,N,D,2,0,4,0,467798
20,4,Top Management,Bio statistician,Others,H,Consultant,Doctorate,Economics,Mumbai,1991.0,Economics,Mumbai,1993.0,Economics,Bangalore,2000.0,Lucknow,Delhi,2557828,Y,D,4,8,0,0,3294482
8,4,Others,Sales Manager,FMCG,P,fresher,Doctorate,Psychology,Guwahati,2012.0,Psychology,Guwahati,2018.0,,,,Bangalore,Kanpur,1816151,N,A,2,0,0,0,2549876
19,8,Accounts,Sales Execituve,Automobile,I,Assistant Manager,Under Grad,,,,,,,,,,Chennai,Mumbai,2725357,Y,B,2,7,1,0,3542964
6,1,Others,Sales Manager,Telecom,O,Data Analyst,PG,Zoology,Mumbai,2014.0,Zoology,Mumbai,2023.0,,,,Pune,Ahmedabad,1185759,N,C,4,0,1,0,1418167
7,7,Top Management,Consultant,Retail,N,Web Designer,Doctorate,Economics,Mangalore,2013.0,Economics,Mangalore,2021.0,,,,Bangalore,Jaipur,1576955,Y,Key_Performer,6,1,0,0,2296046
0,0,,,,,fresher,Grad,Mathematics,Nagpur,2012.0,Mathematics,Nagpur,2014.0,Mathematics,Pune,2020.0,Mangalore,Delhi,0,N,,0,4,0,0,505641
1,1,Others,Bio statistician,Retail,D,Network Engineer,Grad,Economics,Jaipur,2019.0,Economics,Jaipur,2019.0,,,,Delhi,Guwahati,426966,N,D,2,0,2,0,491010
22,12,Marketing,Financial Analyst,IT,O,CA,PG,Engineering,Kolkata,1991.0,Engineering,Kolkata,1993.0,Engineering,Bangalore,1998.0,Jaipur,Mumbai,2952782,Y,A,6,5,0,0,3897672
0,0,,,,,fresher,PG,Arts,Mangalore,2020.0,Arts,Mangalore,2013.0,,,,Ahmedabad,Guwahati,0,N,,0,0,2,0,445157
16,4,Sales,Consultant,IT,J,HR,Under Grad,,,,,,,,,,Chennai,Bangalore,1642346,N,B,6,0,4,0,2052932
21,13,Others,Head,BFSI,O,Network Engineer,Under Grad,,,,,,,,,,Bangalore,Delhi,1628692,Y,Key_Performer,2,6,4,1,2117299
4,1,Marketing,Business Analyst,Insurance,C,Assistant Manager,PG,Arts,Delhi,2016.0,Arts,Delhi,2014.0,,,,Mangalore,Delhi,1290630,N,A,3,1,1,0,1744931
18,9,Top Management,Senior Researcher,Training,J,HR,PG,Botony,Surat,1993.0,Botony,Surat,1995.0,Botony,Surat,2002.0,Bhubaneswar,Kanpur,3346258,N,C,6,7,0,0,4002124
23,17,HR,CEO,Automobile,N,Sr.Manager,PG,Economics,Surat,1990.0,Economics,Surat,1992.0,Economics,Delhi,1997.0,Bangalore,Mangalore,2843831,Y,B,2,3,2,1,3753856
5,5,Others,Sales Manager,IT,N,Consultant,Grad,Arts,Guwahati,2015.0,Arts,Guwahati,2014.0,,,,Bangalore,Kolkata,528738,N,B,6,1,0,0,660922
24,12,Analytics/BI,Bio statistician,Training,B,Medical Officer,PG,Zoology,Guwahati,1988.0,Zoology,Guwahati,1990.0,Zoology,Ahmedabad,1996.0,Pune,Chennai,3057495,N,C,3,6,1,0,3656764
8,7,Banking,Sales Manager,Aviation,O,Network Engineer,PG,Mathematics,Jaipur,2004.0,Mathematics,Jaipur,2006.0,Mathematics,Bhubaneswar,2012.0,Mumbai,Kolkata,1146258,N,B,1,5,1,0,1490135
22,16,Education,Sales Execituve,Aviation,N,Web Designer,Grad,Statistics,Guwahati,1991.0,Statistics,Guwahati,1993.0,Statistics,Bhubaneswar,1998.0,Bangalore,Surat,1762663,Y,Key_Performer,3,4,2,0,2256208
3,3,Healthcare,Team Lead,Aviation,F,Marketing Manager,Grad,Mathematics,Mumbai,2010.0,Mathematics,Mumbai,2012.0,Mathematics,Jaipur,2017.0,Mumbai,Mumbai,610668,N,D,2,3,0,0,702268
2,1,Marketing,Project Manager,Automobile,N,Manager,PG,Statistics,Pune,2010.0,Statistics,Pune,2012.0,Others,Kolkata,2018.0,Ahmedabad,Surat,576767,Y,B,2,7,1,0,778635
6,5,HR,Consultant,Aviation,J,Others,PG,Engineering,Lucknow,2007.0,Engineering,Lucknow,2009.0,Others,Guwahati,2014.0,Nagpur,Guwahati,1112257,N,C,6,6,0,0,1330259
14,9,Others,Business Analyst,Telecom,M,Research Analyst,Grad,Arts,Bhubaneswar,1999.0,Arts,Bhubaneswar,2001.0,Arts,Mangalore,2006.0,Lucknow,Delhi,1817883,Y,Key_Performer,6,4,0,0,2326890
11,6,Banking,Senior Researcher,Analytics,J,Data Analyst,Doctorate,Botony,Delhi,2002.0,Botony,Delhi,2004.0,Botony,Lucknow,2009.0,Lucknow,Guwahati,1943484,N,A,5,4,0,0,2623703
0,0,,,,,fresher,Doctorate,Chemistry,Surat,2011.0,Chemistry,Surat,2013.0,Chemistry,Delhi,2020.0,Kanpur,Chennai,0,N,,0,8,0,0,735858
13,7,Engineering,Analyst,Retail,N,fresher,PG,Psychology,Bhubaneswar,2007.0,Psychology,Bhubaneswar,2018.0,,,,Lucknow,Bhubaneswar,2305402,N,D,2,0,1,0,2757260
6,5,Sales,Sales Execituve,IT,D,HR,PG,Psychology,Jaipur,2014.0,Psychology,Jaipur,2020.0,,,,Kanpur,Guwahati,958530,N,B,1,2,0,0,1246089
17,8,Accounts,Financial Analyst,Aviation,D,Sr.Manager,Doctorate,Chemistry,Surat,1995.0,Chemistry,Surat,1997.0,Chemistry,Lucknow,2003.0,Lucknow,Kanpur,2309200,Y,Key_Performer,2,6,0,0,3232880
2,1,Healthcare,Consultant,Automobile,K,HR,Grad,Statistics,Kolkata,2018.0,Statistics,Kolkata,2020.0,,,,Kolkata,Bhubaneswar,484699,N,A,3,0,0,0,605873
9,6,IT-Software,Financial Analyst,Automobile,H,Director,PG,Chemistry,Guwahati,2004.0,Chemistry,Guwahati,2006.0,Chemistry,Mangalore,2011.0,Ahmedabad,Kanpur,1241436,N,C,2,5,0,0,1484757
14,12,Education,Scientist,Training,N,Consultant,Grad,Economics,Bhubaneswar,1998.0,Economics,Bhubaneswar,2000.0,Economics,Ahmedabad,2006.0,Guwahati,Jaipur,2049880,Y,Key_Performer,4,5,0,0,2623846
8,5,Analytics/BI,Bio statistician,Telecom,K,Others,PG,Engineering,Delhi,2012.0,Engineering,Delhi,2020.0,,,,Pune,Jaipur,1006806,Y,C,2,1,0,0,1222665
19,13,Education,Sales Execituve,Insurance,L,Director,Grad,Mathematics,Lucknow,1992.0,Mathematics,Lucknow,1994.0,Mathematics,Surat,2001.0,Lucknow,Bangalore,1781287,N,B,5,3,0,0,2226608
0,0,,,,,fresher,Under Grad,,,,,,,,,,Ahmedabad,Jaipur,0,N,,0,5,3,0,371861
14,1,Healthcare,Sales Execituve,Retail,C,Director,Grad,Engineering,Ahmedabad,1997.0,Engineering,Ahmedabad,1999.0,Engineering,Bangalore,2006.0,Jaipur,Pune,1946915,Y,C,5,5,0,0,2292687
14,13,Healthcare,Head,Others,N,Assistant Manager,Doctorate,Arts,Kolkata,2000.0,Arts,Kolkata,2002.0,Arts,Lucknow,2006.0,Lucknow,Kanpur,1896494,N,C,2,6,0,0,2355445
8,6,Healthcare,Business Analyst,IT,G,Marketing Manager,Under Grad,,,,,,,,,,Kolkata,Lucknow,501978,N,D,6,3,4,0,577274
12,3,Marketing,Head,Aviation,M,fresher,Doctorate,Botony,Lucknow,2002.0,Botony,Lucknow,2004.0,Botony,Guwahati,2008.0,Guwahati,Lucknow,1719212,N,C,2,7,0,1,2135261
18,11,Marketing,Head,Training,K,HR,Under Grad,,,,,,,,,,Jaipur,Delhi,2032495,N,D,5,7,1,0,2337369
10,9,Top Management,Senior Researcher,Automobile,N,Research Analyst,Doctorate,Psychology,Delhi,2010.0,,,,,,,Bhubaneswar,Lucknow,1573928,N,A,1,0,0,0,2124802
8,6,IT-Software,Principal Analyst,Insurance,L,Marketing Manager,PG,Engineering,Lucknow,2003.0,Others,Lucknow,2005.0,Others,Surat,2012.0,Kolkata,Kolkata,955783,N,D,4,7,1,0,1143116
1,1,Marketing,Financial Analyst,IT,C,Sr.Manager,Grad,Economics,Kolkata,2019.0,Economics,Kolkata,2020.0,,,,Nagpur,Surat,580860,N,B,2,0,0,0,726075
8,8,Analytics/BI,Data scientist,Telecom,I,HR,Grad,Others,Nagpur,2012.0,Botony,Nagpur,2012.0,,,,Chennai,Nagpur,1095795,N,A,2,0,0,1,1424533
7,6,Healthcare,Researcher,Aviation,N,Others,Under Grad,,,,,,,,,,Bangalore,Bangalore,783300,N,C,6,1,4,0,900795
15,2,Sales,CEO,IT,I,HR,Under Grad,,,,,,,,,,Delhi,Guwahati,2639432,N,D,3,8,3,1,3035346
3,2,Analytics/BI,Others,Others,K,Network Engineer,Doctorate,Chemistry,Nagpur,2011.0,Chemistry,Nagpur,2013.0,Chemistry,Pune,2017.0,Chennai,Lucknow,1113938,Y,B,1,7,0,0,1559513
17,5,HR,Business Analyst,Retail,O,Assistant Manager,Under Grad,,,,,,,,,,Bhubaneswar,Delhi,2321195,Y,Key_Performer,5,5,0,0,3017553
4,4,Marketing,Bio statistician,BFSI,M,Medical Officer,PG,Arts,Bhubaneswar,2016.0,,,,,,,Bhubaneswar,Pune,945511,N,B,2,0,1,0,1229164
19,12,,Sales Execituve,IT,D,Research Analyst,Under Grad,,,,,,,,,,Chennai,Surat,2547616,Y,Key_Performer,4,6,1,0,3311900
6,0,Education,Bio statistician,FMCG,F,Research Analyst,Doctorate,Statistics,Surat,2008.0,Statistics,Surat,2010.0,Statistics,Ahmedabad,2014.0,Lucknow,Pune,1469809,N,B,4,8,0,0,1984242
18,3,Education,Bio statistician,Others,D,Sr.Manager,Grad,Zoology,Nagpur,2002.0,,,,,,,Bhubaneswar,Guwahati,2355220,N,C,3,1,0,0,2708503
11,10,Top Management,Senior Analyst,IT,I,Medical Officer,Grad,Botony,Kolkata,2003.0,Others,Kolkata,2005.0,Botony,Surat,2009.0,Chennai,Pune,1991526,N,D,2,6,0,0,2290254
11,9,Engineering,Head,Insurance,L,Network Engineer,Grad,Chemistry,Pune,2002.0,Others,Pune,2004.0,Chemistry,Pune,2009.0,Bangalore,Bangalore,2026674,N,C,3,6,0,1,2330675
9,2,,Consultant,Insurance,F,Data Analyst,PG,Sociology,Jaipur,2002.0,Sociology,Jaipur,2004.0,Sociology,Bangalore,2011.0,Bangalore,Surat,1149188,N,B,6,5,2,0,1493944
20,16,Marketing,CEO,IT,F,Data Analyst,Under Grad,,,,,,,,,,Bhubaneswar,Lucknow,1461255,Y,B,2,5,0,0,1899631
18,16,Top Management,Project Manager,Automobile,M,Consultant,Grad,Chemistry,Lucknow,1994.0,Chemistry,Lucknow,1996.0,Chemistry,Ahmedabad,2002.0,Delhi,Pune,2563399,Y,Key_Performer,5,6,0,0,3281150
22,7,Analytics/BI,Business Analyst,Others,J,HR,Doctorate,Chemistry,Kolkata,1990.0,Chemistry,Kolkata,1992.0,Chemistry,Nagpur,1998.0,Nagpur,Bhubaneswar,3477566,N,C,5,5,0,0,4319136
11,9,Accounts,Consultant,Retail,I,Network Engineer,Doctorate,Chemistry,Lucknow,2003.0,Chemistry,Lucknow,2005.0,Chemistry,Kolkata,2009.0,Jaipur,Surat,2073242,Y,B,3,4,0,0,2902538
17,1,Education,Sales Manager,BFSI,J,Data Analyst,Doctorate,Mathematics,Lucknow,1995.0,Mathematics,Lucknow,1997.0,Mathematics,Lucknow,2003.0,Kanpur,Chennai,3860405,Y,Key_Performer,4,4,0,0,5404567
14,4,IT-Software,Bio statistician,BFSI,J,Software Developer,Grad,Mathematics,Bangalore,1997.0,Mathematics,Bangalore,1999.0,Mathematics,Lucknow,2006.0,Mumbai,Kolkata,1920170,N,D,5,4,4,0,2208195
18,15,Engineering,Head,Insurance,O,Consultant,Grad,Sociology,Surat,2002.0,Sociology,Surat,2013.0,,,,Kanpur,Surat,2358150,N,D,3,0,0,0,2711872
18,6,Analytics/BI,Consultant,Insurance,L,Marketing Manager,Grad,Arts,Mumbai,2002.0,,,,,,,Kolkata,Lucknow,2568274,N,A,6,1,0,0,3210342
17,1,Education,Financial Analyst,IT,J,Research Analyst,Under Grad,,,,,,,,,,Nagpur,Bhubaneswar,2128159,N,D,2,8,2,0,2447382
3,2,Analytics/BI,Team Lead,FMCG,J,Data Analyst,Doctorate,Others,Mangalore,2010.0,Statistics,Mangalore,2012.0,Others,Guwahati,2017.0,Bangalore,Mangalore,1205194,Y,A,2,7,0,0,1687271
19,2,Others,CEO,Analytics,P,Others,Doctorate,Others,Guwahati,2001.0,Zoology,Guwahati,2021.0,,,,Chennai,Jaipur,2511617,N,C,4,2,0,1,3119428
20,6,Healthcare,CEO,Training,H,Software Developer,Doctorate,Chemistry,Pune,1991.0,Chemistry,Pune,1993.0,Chemistry,Bhubaneswar,2000.0,Lucknow,Kanpur,3301842,N,A,3,6,0,0,4457486
22,2,Sales,Business Analyst,IT,D,Manager,Doctorate,Statistics,Kolkata,1989.0,Statistics,Kolkata,1991.0,Statistics,Lucknow,1998.0,Delhi,Mangalore,2736679,Y,C,6,6,0,0,3524842
9,8,Engineering,Senior Researcher,Others,J,Sr.Manager,Doctorate,Arts,Surat,2011.0,Arts,Surat,2012.0,,,,Mumbai,Guwahati,2063694,N,D,2,1,0,0,2563107
13,6,Banking,Head,Automobile,G,Web Designer,PG,Economics,Mumbai,1999.0,Economics,Mumbai,2001.0,Economics,Pune,2007.0,Ahmedabad,Jaipur,2569062,Y,Key_Performer,3,5,1,1,3391161
16,5,Banking,CEO,BFSI,P,Others,PG,Zoology,Jaipur,1996.0,Zoology,Jaipur,1998.0,Others,Kolkata,2004.0,Mumbai,Chennai,2402148,N,C,4,3,1,0,2872969
2,2,Accounts,Analyst,FMCG,A,Software Developer,Doctorate,Mathematics,Bangalore,2011.0,Mathematics,Bangalore,2013.0,Mathematics,Ahmedabad,2018.0,Mumbai,Pune,485723,N,A,1,7,0,0,641154
12,7,Analytics/BI,Data scientist,Others,I,Consultant,PG,Zoology,Ahmedabad,2008.0,Zoology,Ahmedabad,2014.0,,,,Bangalore,Mangalore,1673194,N,B,4,0,0,1,2175152
12,4,Top Management,Team Lead,Automobile,A,Manager,Grad,Zoology,Bangalore,2000.0,Zoology,Bangalore,2002.0,Others,Mumbai,2008.0,Jaipur,Jaipur,1988345,N,C,3,3,0,0,2286596
23,14,Accounts,Scientist,Training,B,Others,PG,Others,Delhi,1997.0,Zoology,Delhi,2020.0,,,,Chennai,Kanpur,1563691,N,B,4,2,1,0,2032798
13,1,Others,Bio statistician,Retail,A,Consultant,PG,Statistics,Delhi,2007.0,Statistics,Delhi,2017.0,,,,Mumbai,Delhi,2242270,Y,D,6,1,0,0,2723012
25,0,Education,Financial Analyst,Insurance,J,CA,Grad,Economics,Pune,1989.0,Economics,Pune,1991.0,Economics,Lucknow,1995.0,Kolkata,Guwahati,1951582,Y,C,6,7,0,0,2298182
9,4,Healthcare,Scientist,Insurance,I,Product Manager,PG,Mathematics,Lucknow,2005.0,Mathematics,Lucknow,2007.0,Mathematics,Nagpur,2011.0,Nagpur,Pune,1276675,N,A,4,8,0,1,1659677
1,1,Marketing,Associate,Telecom,A,Product Manager,Grad,Arts,Surat,2011.0,Arts,Surat,2013.0,Others,Pune,2019.0,Pune,Bangalore,419648,N,C,1,4,0,0,482595
8,6,Engineering,Team Lead,Training,P,Web Designer,PG,Economics,Mumbai,2012.0,Economics,Mumbai,2015.0,,,,Ahmedabad,Nagpur,974322,N,B,2,2,1,0,1266618
13,9,Others,Analyst,Aviation,G,Data Analyst,Under Grad,,,,,,,,,,Mumbai,Ahmedabad,1640078,N,D,6,8,3,0,1886089
14,0,Marketing,Bio statistician,FMCG,P,Director,Grad,Economics,Guwahati,1997.0,Economics,Guwahati,1999.0,Economics,Mangalore,2006.0,Lucknow,Mumbai,1801639,Y,C,6,3,0,0,2121610
13,9,Top Management,Senior Analyst,Training,O,Marketing Manager,Grad,Statistics,Surat,2000.0,Statistics,Surat,2002.0,Others,Lucknow,2007.0,Kanpur,Kanpur,2048418,N,C,4,5,0,0,2355680
21,6,Top Management,Others,Analytics,C,Manager,Doctorate,Psychology,Ahmedabad,1999.0,Psychology,Ahmedabad,2021.0,,,,Chennai,Kolkata,2567752,N,D,5,0,0,0,3189147
2,2,Sales,Scientist,Aviation,A,Product Manager,PG,Economics,Pune,2012.0,Economics,Pune,2014.0,Economics,Guwahati,2018.0,Jaipur,Kolkata,477376,N,A,2,8,0,0,611041
1,0,Analytics/BI,Data scientist,Automobile,M,Others,Grad,Mathematics,Mangalore,2010.0,Others,Mangalore,2012.0,Others,Surat,2019.0,Mangalore,Kolkata,410052,Y,B,1,3,0,1,524866
12,9,Analytics/BI,Data scientist,Aviation,J,Research Analyst,Under Grad,,,,,,,,,,Guwahati,Kolkata,1556487,Y,Key_Performer,4,4,3,0,2023433
0,0,,,,,fresher,Grad,Sociology,Nagpur,2011.0,Sociology,Nagpur,2013.0,Mathematics,Nagpur,2020.0,Pune,Kanpur,0,N,,0,4,0,0,566670
3,2,IT-Software,Financial Analyst,BFSI,K,Others,Under Grad,,,,,,,,,,Pune,Bhubaneswar,553084,N,D,2,0,1,0,636046
13,9,Marketing,Senior Researcher,Others,I,fresher,Grad,Arts,Guwahati,2007.0,,,,,,,Guwahati,Surat,1861956,N,B,2,1,0,0,2327445
25,13,Analytics/BI,Scientist,Training,O,Data Analyst,Grad,Economics,Surat,1988.0,Economics,Surat,1990.0,Economics,Bangalore,1995.0,Ahmedabad,Bangalore,2519782,Y,Key_Performer,3,7,3,0,3225320
5,3,Accounts,Others,Aviation,I,Assistant Manager,Grad,Economics,Nagpur,2006.0,Economics,Nagpur,2008.0,Economics,Nagpur,2015.0,Mumbai,Pune,604793,N,D,5,5,0,0,695511
6,0,Others,Associate,FMCG,N,Product Manager,Under Grad,,,,,,,,,,Chennai,Kolkata,953240,Y,C,3,6,5,0,1140075
22,20,HR,Financial Analyst,Retail,C,Research Analyst,Under Grad,,,,,,,,,,Bhubaneswar,Ahmedabad,1771300,N,A,2,7,0,0,2214125
7,2,Marketing,Team Lead,Telecom,H,Product Manager,Doctorate,Zoology,Nagpur,2013.0,Zoology,Nagpur,2018.0,,,,Guwahati,Kolkata,1932265,N,D,3,1,0,0,2399873
17,12,Analytics/BI,Data scientist,Insurance,K,Network Engineer,PG,Economics,Nagpur,1996.0,Economics,Nagpur,1998.0,Others,Guwahati,2003.0,Lucknow,Kolkata,3469898,Y,Key_Performer,3,7,0,0,4580265
11,9,Top Management,CEO,Aviation,A,Research Analyst,Grad,Mathematics,Mumbai,2009.0,Mathematics,Mumbai,2012.0,,,,Guwahati,Lucknow,1992756,N,Key_Performer,6,0,0,0,2490945
20,4,Analytics/BI,CEO,Telecom,D,Research Scientist,Under Grad,,,,,,,,,,Kolkata,Ahmedabad,1726295,N,A,3,4,5,0,2157868
16,3,Education,Sales Manager,Aviation,E,Sr.Manager,PG,Botony,Delhi,1997.0,Botony,Delhi,1999.0,Botony,Mangalore,2004.0,Ahmedabad,Lucknow,1672579,N,B,2,8,0,0,2174352
11,8,Banking,Others,Retail,O,Assistant Manager,Under Grad,,,,,,,,,,Surat,Delhi,1316359,N,D,6,5,1,0,1513812
4,3,,Bio statistician,BFSI,I,Data Analyst,PG,Sociology,Bhubaneswar,2009.0,Sociology,Bhubaneswar,2011.0,Sociology,Lucknow,2016.0,Bangalore,Bhubaneswar,1364470,Y,Key_Performer,1,6,0,0,1873144
5,5,Banking,Sales Manager,BFSI,M,Web Designer,Doctorate,Mathematics,Delhi,2008.0,Mathematics,Delhi,2010.0,Mathematics,Ahmedabad,2015.0,Delhi,Nagpur,1048625,Y,Key_Performer,6,8,0,0,1526798
25,0,Engineering,Sales Manager,Aviation,F,HR,Doctorate,Sociology,Surat,1995.0,Sociology,Surat,2020.0,,,,Mumbai,Kolkata,2383365,N,A,5,0,0,0,3217542
10,0,Healthcare,Financial Analyst,Aviation,M,Sr.Manager,Grad,Others,Guwahati,2010.0,Zoology,Guwahati,2015.0,,,,Bhubaneswar,Lucknow,1902124,N,C,3,0,0,0,2187442
10,9,Healthcare,Sales Manager,Aviation,N,Director,Doctorate,Others,Mangalore,2002.0,Others,Mangalore,2004.0,Botony,Nagpur,2010.0,Kanpur,Bhubaneswar,2053188,N,B,1,7,0,0,2771803
20,1,Marketing,Analyst,Others,B,Research Analyst,Grad,Statistics,Kolkata,1992.0,Statistics,Kolkata,1994.0,Statistics,Bangalore,2000.0,Pune,Surat,2352078,N,D,5,7,1,0,2704889
